id_subsistema;nom_subsistema;id_estado;nom_estado;nom_agente_principal;id_subestacao;nom_subestacao;val_niveltensao;id_estacao;num_barra;val_latitude;val_longitude
N;Norte;AM;Amazonas;AZULAO GERACAO;AMAZL;AZULAO;500.0;AMAZL-5A;44932;-2.7147;-58.1944
N;Norte;AM;Amazonas;ENERGISA AMAZONAS;AMCR-1;CRISTIANO ROCHA;230.0;AMCR--21;8551;-2.8928;-60.0321
N;Norte;AM;Amazonas;ENERGISA AMAZONAS;AMJTX;JORG.TEIXEIRA;138.0;AMJTX-1A;8512;-3.0209;-59.8965
N;Norte;AM;Amazonas;ENERGISA AMAZONAS;AMJTX;JORG.TEIXEIRA;230.0;AMJTX-2A;8511;-3.0209;-59.8965
N;Norte;AM;Amazonas;MANAUS TR;AMCRR;LECHUGA;138.0;AMCRR-1A;8751;-2.9191;-60.0154
N;Norte;AM;Amazonas;MANAUS TR;AMCRR;LECHUGA;230.0;AMCRR-2A;8700;-2.9191;-60.0154
N;Norte;AM;Amazonas;MANAUS TR;AMCRR;LECHUGA;500.0;AMCRR-5A;8500;-2.9191;-60.0154
N;Norte;AM;Amazonas;ENERGISA AMAZONAS;AMMN;MANAUS;69.0;AMMN--0A;8523;-3.0823;-59.9912
N;Norte;AM;Amazonas;ENERGISA AMAZONAS;AMMN;MANAUS;230.0;AMMN--2A;8521;-3.0823;-59.9912
N;Norte;AM;Amazonas;AMAZONAS GT;AMMT;MAUA III;138.0;AMMT--1A;8532;-3.1191;-59.9285
N;Norte;AM;Amazonas;AMAZONAS GT;AMMT;MAUA III;230.0;AMMT--2A;8531;-3.1191;-59.9285
N;Norte;AM;Amazonas;PARINTINS AMAZONAS;AMPAR;PARINTINS;138.0;AMPAR-1A;8332;-2.6732;-56.7390
N;Norte;AM;Amazonas;PARINTINS AMAZONAS;AMPAR;PARINTINS;230.0;AMPAR-2A;8331;-2.6732;-56.7390
N;Norte;AM;Amazonas;J&F INVESTIMENTOS;AMMA;PIRARUCU;69.0;AMMA--0B;8548;-2.9369;-60.0124
N;Norte;AM;Amazonas;RAESA;AMCR;PORAQUE;230.0;AMCR--2A;90808;-2.8933;-60.0239
N;Norte;AM;Amazonas;ENERGISA AMAZONAS;AMFG;PR.FIGUEIREDO;69.0;AMFG--0E;44659;-2.0344;-60.0259
N;Norte;AM;Amazonas;ENERGISA AMAZONAS;AMFG;PR.FIGUEIREDO;230.0;AMFG--2A;8541;-2.0344;-60.0259
N;Norte;AM;Amazonas;ENERGISA AMAZONAS;AMBE;SE BALBINA;230.0;AMBE--2A;8501;-1.9198;-59.4800
N;Norte;AM;Amazonas;MANAUS TR;AMITR;SILVES;138.0;AMITR-1A;8451;-2.7110;-58.2730
N;Norte;AM;Amazonas;MANAUS TR;AMITR;SILVES;500.0;AMITR-5A;8400;-2.7110;-58.2730
N;Norte;AM;Amazonas;J&F INVESTIMENTOS;AMTA;TAMBAQUI;69.0;AMTA--0B;8543;-3.1092;-59.9394
N;Norte;AM;Amazonas;J&F INVESTIMENTOS;AMGE;TUCUNARE;69.0;AMGE--0B;8546;-3.0911;-60.0730
N;Norte;AM;Amazonas;J&F INVESTIMENTOS;AMJA;UTE JARAQUI;69.0;AMJA--0A;8569;-2.9816;-60.0178
N;Norte;AM;Amazonas;J&F INVESTIMENTOS;AMCM;UTE MAUA 3;230.0;AMCM--2A;94457;-3.1174;-59.9296
N;Norte;AM;Amazonas;J&F INVESTIMENTOS;AMCM;UTE MAUA 3;230.0;AMCM--2B;94834;-3.1174;-59.9296
N;Norte;AM;Amazonas;J&F INVESTIMENTOS;AMCM;UTE MAUA 3;230.0;AMCM--2C;94846;-3.1174;-59.9296
N;Norte;AP;Amapá;CACHOEIRA CALDEIRAO;APUCCA;C.CALDEIRAO;230.0;APUCCA2A;8277;0.8528;-51.2967
N;Norte;AP;Amapá;FERREIRA GOMES;APFGO;FERREI.GOMES;230.0;APFGO-2A;8278;0.8557;-51.1968
N;Norte;AP;Amapá;LMTE;APLAL;LARANJAL;69.0;APLAL-0A;8271;-0.8120;-52.4822
N;Norte;AP;Amapá;LMTE;APLAL;LARANJAL;230.0;APLAL-2A;8270;-0.8120;-52.4822
N;Norte;AP;Amapá;LMTE;APMCP;MACAPA;69.0;APMCP-0A;8281;0.0984;-51.1218
N;Norte;AP;Amapá;LMTE;APMCP;MACAPA;230.0;APMCP-2A;8280;0.0984;-51.1218
N;Norte;AP;Amapá;ENERGISA AMAPA;APMCT;MACAPA III;69.0;APMCT-0A;44782;0.0489;-51.1753
N;Norte;AP;Amapá;ENERGISA AMAPA;APMCT;MACAPA III;230.0;APMCT-2A;44781;0.0489;-51.1753
N;Norte;AP;Amapá;CEJA;APSAJ;STO.ANT.JARI;230.0;APSAJ-2A;8268;-0.6500;-52.5167
N;Norte;AP;Amapá;ELETRONORTE;APCN;US.COA.NUNES;138.0;APCN--1A;94792;0.9032;-51.2599
N;Norte;MA;Maranhão;EATE;MAAC;ACAILANDIA;69.0;MAAC--0A;44637;-4.9190;-47.4036
N;Norte;MA;Maranhão;EATE;MAAC;ACAILANDIA;230.0;MAAC--2A;44636;-4.9190;-47.4036
N;Norte;MA;Maranhão;EATE;MAAC;ACAILANDIA;500.0;MAAC--5A;6700;-4.9190;-47.4036
N;Norte;MA;Maranhão;ARGO;MABAC;BACABEIRA;500.0;MABAC-5A;5684;-3.0224;-44.2965
N;Norte;MA;Maranhão;ELETRONORTE;MABAL;BALSAS;69.0;MABAL-0A;5393;-7.5591;-46.0184
N;Norte;MA;Maranhão;ELETRONORTE;MABAL;BALSAS;230.0;MABAL-2A;5391;-7.5591;-46.0184
N;Norte;MA;Maranhão;ARTEON Z2;MACXD;CAXIAS II;69.0;MACXD-0A;5529;-4.8839;-43.4103
N;Norte;MA;Maranhão;ARTEON Z2;MACXD;CAXIAS II;230.0;MACXD-2A;44118;-4.8839;-43.4103
N;Norte;MA;Maranhão;HORIZON MA II;MACD;CHAPADINHA II;69.0;MACD--0A;5687;-3.7965;-43.4074
N;Norte;MA;Maranhão;HORIZON MA II;MACD;CHAPADINHA II;230.0;MACD--2A;5685;-3.7965;-43.4074
N;Norte;MA;Maranhão;ELETRONORTE;MACH;COELHO NETO;69.0;MACH--0A;5526;-4.2981;-42.9865
N;Norte;MA;Maranhão;ELETRONORTE;MACH;COELHO NETO;230.0;MACH--2A;5525;-4.2981;-42.9865
N;Norte;MA;Maranhão;DELTA 3 I;MADLT;DELTA 3;138.0;MADLT-1A;8007;-2.6380;-42.6426
N;Norte;MA;Maranhão;DELTA 6 I;MADLS;DELTA 6;138.0;MADLS-1A;8011;;
N;Norte;MA;Maranhão;ENCRUZO NOVO;MAEN;ENCRUZO NOVO;69.0;MAEN--0A;6003;-2.2179;-45.8543
N;Norte;MA;Maranhão;ENCRUZO NOVO;MAEN;ENCRUZO NOVO;230.0;MAEN--2A;6001;-2.2179;-45.8543
N;Norte;MA;Maranhão;CE ESTREITO;TOUHET;ESTREITO;500.0;TOUHET5A;5594;-6.5891;-47.4665
N;Norte;MA;Maranhão;GERA MARANHAO;MAGN;GERANORTE;230.0;MAGN--2A;5556;-3.5659;-44.5558
N;Norte;MA;Maranhão;ELETRONORTE;MAIZ;IMPERATRIZ;69.0;MAIZ--0A;5593;-5.4221;-47.4717
N;Norte;MA;Maranhão;ELETRONORTE;MAIZ;IMPERATRIZ;230.0;MAIZ--2A;5591;-5.4221;-47.4717
N;Norte;MA;Maranhão;ELETRONORTE;MAIZ;IMPERATRIZ;500.0;MAIZ--5A;5590;-5.4221;-47.4717
N;Norte;MA;Maranhão;ELETRONORTE;MAMR;MIRANDA II;69.0;MAMR--0E;5543;-3.5676;-44.5354
N;Norte;MA;Maranhão;ELETRONORTE;MAMR;MIRANDA II;138.0;MAMR--1A;5542;-3.5676;-44.5354
N;Norte;MA;Maranhão;ELETRONORTE;MAMR;MIRANDA II;230.0;MAMR--2A;5541;-3.5676;-44.5354
N;Norte;MA;Maranhão;ELETRONORTE;MAMR;MIRANDA II;500.0;MAMR--5A;5540;-3.5676;-44.5354
N;Norte;MA;Maranhão;ELETRONORTE;MAPD;P.DUTRA;69.0;MAPD--0A;5583;-5.2693;-44.4816
N;Norte;MA;Maranhão;ELETRONORTE;MAPD;P.DUTRA;230.0;MAPD--2A;5581;-5.2693;-44.4816
N;Norte;MA;Maranhão;ELETRONORTE;MAPD;P.DUTRA;500.0;MAPD--5A;5580;-5.2693;-44.4816
N;Norte;MA;Maranhão;PARNAIBA I GERAÇÃO;MASEPN;PARNAIBA;500.0;MASEPN5A;5649;-4.8199;-44.3532
N;Norte;MA;Maranhão;OMEGA EI 1;MAPLN;PAULINO NEVES;138.0;MAPLN-1A;6712;-2.7272;-42.5964
N;Norte;MA;Maranhão;OMEGA EI 1;MAPLN;PAULINO NEVES;500.0;MAPLN-5A;5695;-2.7272;-42.5964
N;Norte;MA;Maranhão;ELETRONORTE;MAPR;PERITORO;69.0;MAPR--0A;5533;-4.3679;-44.3303
N;Norte;MA;Maranhão;ELETRONORTE;MAPR;PERITORO;230.0;MAPR--2A;5531;-4.3679;-44.3303
N;Norte;MA;Maranhão;ELETRONORTE;MAPF;PORTO FRANCO;69.0;MAPF--0A;5603;-6.3475;-47.3772
N;Norte;MA;Maranhão;ELETRONORTE;MAPF;PORTO FRANCO;138.0;MAPF--1A;5602;-6.3475;-47.3772
