nom_subestacao_de,nom_subestacao_para,val_niveltensao_kv
CRUZEIRO SUL,FEIJO,230.0
FEIJO,RIO BRANCO I,230.0
RIO BRANCO I,TUCUMA,230.0
ARAPIRACA III,PENEDO,230.0
ARAPIRACA III,RIO LARGO II,230.0
MESSIAS,MACEIO,230.0
MESSIAS,MACEIO,230.0
MESSIAS,MACEIO II,230.0
MESSIAS,MACEIO II,230.0
MESSIAS,RIO LARGO II,230.0
MESSIAS,RIO LARGO II,230.0
MESSIAS,RIO LARGO II,230.0
MESSIAS,RIO LARGO II,230.0
RIO LARGO II,PENEDO,230.0
SANTANA II,ANGELIM,230.0
BALBINA,CRISTIANO ROCHA,230.0
BALBINA,LECHUGA,230.0
BALBINA,MANAUS,230.0
BALBINA,MANAUS,230.0
BALBINA,PR.FIGUEIREDO,230.0
CRISTIANO ROCHA,LECHUGA,230.0
CRISTIANO ROCHA,MANAUS,230.0
CRISTIANO ROCHA,PR.FIGUEIREDO,230.0
JORG.TEIXEIRA,LECHUGA,230.0
JORG.TEIXEIRA,LECHUGA,230.0
JORG.TEIXEIRA,LECHUGA,230.0
JORG.TEIXEIRA,MAUA III,230.0
JORG.TEIXEIRA,MAUA III,230.0
LECHUGA,MANAUS,230.0
LECHUGA,MANAUS,230.0
SE BALBINA,LECHUGA,230.0
SE BALBINA,PR.FIGUEIREDO,230.0
UTE MAUA 3,MAUA III,230.0
UTE MAUA 3,MAUA III,230.0
C.CALDEIRAO,FERREI.GOMES,230.0
FERREI.GOMES,MACAPA,230.0
LARANJAL,MACAPA,230.0
LARANJAL,MACAPA,230.0
LARANJAL,STO.ANT.JARI,230.0
MACAPA,MACAPA III,230.0
ALAGOINHAS II,CATU,230.0
ALAGOINHAS II,CICERO DANTAS,230.0
APOLONIO SALES,P.AFONSO III,230.0
APOLONIO SALES,P.AFONSO III,230.0
ARACAS,IGAPORA II,230.0
B.JESUS LAPA,BARREIRAS,230.0
B.JESUS LAPA,BROTAS.MACAUBAS,230.0
B.JESUS LAPA,TABOCAS BRJ VLH,230.0
BABILONIA SUL,OUROLANDIA II,230.0
BARREIRAS,BARREIRAS II,230.0
BARREIRAS,BARREIRAS II,230.0
BARREIRAS,BARREIRAS II,230.0
BARREIRAS,RIO GRANDE II,230.0
BARREIRAS,RIO GRANDE II,230.0
BARREIRAS II,DIANOPOLIS II,230.0
BARREIRAS II,RIO GRANDE II,230.0
BARREIRAS II,TABOCAS BRJ VLH,230.0
BOM.JES.LAPA II,B.JESUS LAPA,230.0
BOM.JES.LAPA II,B.JESUS LAPA,230.0
BOM.JES.LAPA II,IGAPORA II,230.0
BROTAS.MACAUBAS,GENTIO OURO II,230.0
BROTAS.MACAUBAS,IRECE,230.0
BRUMADO II,CRISTALANDIA,230.0
BRUMADO II,FUNIL,230.0
BRUMADO II,IBICOARA,230.0
BRUMADO II,POCOES II,230.0
CAETITE 123,IGAPORA II,230.0
CAETITE A,IGAPORA II,230.0
CAMACARI II,COTEGIPE,230.0
CAMACARI II,COTEGIPE,230.0
CAMACARI II,G.MANGABEIRA,230.0
CAMACARI II,G.MANGABEIRA,230.0
CAMACARI II,JACARACANGA,230.0
CAMACARI II,JACARACANGA,230.0
CAMACARI II,MATATU,230.0
CAMACARI II,PITUACU,230.0
CAMACARI II,PITUACU,230.0
CAMACARI II,POLO,230.0
CAMACARI II,POLO,230.0
CAMACARI II,TOMBA,230.0
CAMACARI II,US.CAMACARI,230.0
CAMACARI II,FORD,230.0
CAMACARI IV,COTEGIPE,230.0
CAMACARI IV,JACARACANGA,230.0
CAMACARI IV,JACARACANGA,230.0
CAMACARI IV,PIRAJA,230.0
CAMACARI IV,PIRAJA,230.0
CAMACARI IV,PITUACU,230.0
CAMACARI IV,POLO,230.0
CAMACARI IV,POLO,230.0
CAMPO FORMOSO,IRECE,230.0
CAMPO FORMOSO,SR.BONFIM II,230.0
CAMPO LARGO,OUROLANDIA II,230.0
CAMPO LARGO,OUROLANDIA II,230.0
CATU,CAMACARI II,230.0
CATU,CAMACARI II,230.0
CATU,CAMACARI IV,230.0
CATU,CAMACARI IV,230.0
CATU,G.MANGABEIRA,230.0
CICERO DANTAS,CATU,230.0
CICERO DANTAS,CATU,230.0
COTEGIPE,JACARACANGA,230.0
COTEGIPE,MATATU,230.0
COTEGIPE,R.D.MANGANES,230.0
COTEGIPE,SIBRA,230.0
COTEGIPE,USIBA,230.0
DELFINA,JUAZEIRO II,230.0
EUNAPOLIS,TEIX FREITAS II,230.0
EUNAPOLIS,TEIX FREITAS II,230.0
F. SANTANA III,CAMACARI II,230.0
FOLHA LARGA,SR.BONFIM II,230.0
FOLHA LARGA SUL,FOLHA LARGA,230.0
FORD,POLO,230.0
FORD,POLO,230.0
FORD,CAMACARI II,230.0
FORD,CAMACARI II,230.0
FUNIL,ITAGIBA,230.0
FUNIL,ITAPEBI SE,230.0
FUNIL,ITAPEBI SE,230.0
FUNIL,POCOES II,230.0
FUNIL,EUNAPOLIS,230.0
FUNIL,EUNAPOLIS,230.0
G.MANGABEIRA,F. SANTANA III,230.0
