nom_subestacao,val_latitude,val_longitude,eh_gerador
AZULAO,-2.7147,-58.1944,0
CRISTIANO ROCHA,-2.8928,-60.0321,0
JORG.TEIXEIRA,-3.0209,-59.8965,0
JORG.TEIXEIRA,-3.0209,-59.8965,0
LECHUGA,-2.9191,-60.0154,0
LECHUGA,-2.9191,-60.0154,0
LECHUGA,-2.9191,-60.0154,0
MANAUS,-3.0823,-59.9912,0
MANAUS,-3.0823,-59.9912,0
MAUA III,-3.1191,-59.9285,0
MAUA III,-3.1191,-59.9285,0
PARINTINS,-2.6732,-56.739,0
PARINTINS,-2.6732,-56.739,0
PIRARUCU,-2.9369,-60.0124,0
PORAQUE,-2.8933,-60.0239,0
PR.FIGUEIREDO,-2.0344,-60.0259,0
PR.FIGUEIREDO,-2.0344,-60.0259,0
SE BALBINA,-1.9198,-59.48,0
SILVES,-2.711,-58.273,0
SILVES,-2.711,-58.273,0
TAMBAQUI,-3.1092,-59.9394,0
TUCUNARE,-3.0911,-60.073,0
UTE JARAQUI,-2.9816,-60.0178,1
UTE MAUA 3,-3.1174,-59.9296,1
UTE MAUA 3,-3.1174,-59.9296,1
UTE MAUA 3,-3.1174,-59.9296,1
C.CALDEIRAO,0.8528,-51.2967,0
FERREI.GOMES,0.8557,-51.1968,0
LARANJAL,-0.812,-52.4822,0
LARANJAL,-0.812,-52.4822,0
MACAPA,0.0984,-51.1218,0
MACAPA,0.0984,-51.1218,0
MACAPA III,0.0489,-51.1753,0
MACAPA III,0.0489,-51.1753,0
STO.ANT.JARI,-0.65,-52.5167,0
US.COA.NUNES,0.9032,-51.2599,0
ACAILANDIA,-4.919,-47.4036,0
ACAILANDIA,-4.919,-47.4036,0
ACAILANDIA,-4.919,-47.4036,0
BACABEIRA,-3.0224,-44.2965,0
BALSAS,-7.5591,-46.0184,0
BALSAS,-7.5591,-46.0184,0
CAXIAS II,-4.8839,-43.4103,0
CAXIAS II,-4.8839,-43.4103,0
CHAPADINHA II,-3.7965,-43.4074,0
CHAPADINHA II,-3.7965,-43.4074,0
COELHO NETO,-4.2981,-42.9865,0
COELHO NETO,-4.2981,-42.9865,0
DELTA 3,-2.638,-42.6426,0
ENCRUZO NOVO,-2.2179,-45.8543,0
ENCRUZO NOVO,-2.2179,-45.8543,0
ESTREITO,-6.5891,-47.4665,0
GERANORTE,-3.5659,-44.5558,1
IMPERATRIZ,-5.4221,-47.4717,0
IMPERATRIZ,-5.4221,-47.4717,0
IMPERATRIZ,-5.4221,-47.4717,0
MIRANDA II,-3.5676,-44.5354,0
MIRANDA II,-3.5676,-44.5354,0
MIRANDA II,-3.5676,-44.5354,0
MIRANDA II,-3.5676,-44.5354,0
P.DUTRA,-5.2693,-44.4816,0
P.DUTRA,-5.2693,-44.4816,0
P.DUTRA,-5.2693,-44.4816,0
PARNAIBA,-4.8199,-44.3532,0
PAULINO NEVES,-2.7272,-42.5964,0
PAULINO NEVES,-2.7272,-42.5964,0
PERITORO,-4.3679,-44.3303,0
PERITORO,-4.3679,-44.3303,0
PORTO FRANCO,-6.3475,-47.3772,0
PORTO FRANCO,-6.3475,-47.3772,0
PORTO FRANCO,-6.3475,-47.3772,0
S.ANTON LOPES,-4.8214,-44.3513,0
SAO LUIS I,-2.5606,-44.2558,0
SAO LUIS I,-2.5606,-44.2558,0
SAO LUIS II,-2.7172,-44.3172,0
SAO LUIS II,-2.7172,-44.3172,0
SAO LUIS III,-2.5171,-44.1715,0
SAO LUIS III,-2.5171,-44.1715,0
SAO LUIS IV,-2.7172,-44.3171,0
SAO LUIS IV,-2.7172,-44.3171,0
SAO LUIS IV,-2.7172,-44.3171,0
STA LUZIA III,-3.9995,-45.7048,0
STA LUZIA III,-3.9995,-45.7048,0
STA LUZIA III,-3.9995,-45.7048,0
U.NV.VENECIA2,-4.865,-44.3506,0
U.NV.VENECIA2,-4.865,-44.3506,0
UT.MARANHAO 3,-4.8221,-44.3547,0
UT.MARANHAO 3,-4.8221,-44.3547,0
UT.MARANHAO 3,-4.8221,-44.3547,0
UT.MARANHAO 4,-26.2875,-48.8785,0
UT.MARANHAO 4,-26.2875,-48.8785,0
UT.MARANHAO 5,-19.754,-40.3765,0
UT.MARANHAO 5,-19.754,-40.3765,0
UT.PARNAIBA 4,-4.8141,-44.3436,0
UT.PARNAIBA V,-4.8194,-44.3553,0
UT.POR.ITAQUI,-2.5246,-44.2961,0
SALTO PARAISO,-9.9455,-56.8319,0
ALTAMIRA,-3.1369,-52.1798,0
ALTAMIRA,-3.1369,-52.1798,0
BELO MONTE,-3.1268,-51.775,0
CARAJAS,-5.9811,-49.8885,0
CARAJAS,-5.9811,-49.8885,0
CASTANHAL,-1.2958,-47.7867,0
CASTANHAL,-1.2958,-47.7867,0
DOM ELISEU II,-4.3412,-47.5379,0
DOM ELISEU II,-4.3412,-47.5379,0
GUAMA,-1.4601,-48.4469,0
GUAMA,-1.4601,-48.4469,0
GUAMA,-1.4601,-48.4469,0
GUAMA,-1.4601,-48.4469,0
INTEGRADORA,-6.4389,-50.0221,0
INTEGRADORA,-6.4389,-50.0221,0
ITACAIUNAS,-5.4566,-49.1473,0
ITACAIUNAS,-5.4566,-49.1473,0
ITACAIUNAS,-5.4566,-49.1473,0
JURUPARI,-1.5455,-52.7694,0
JURUPARI,-1.5455,-52.7694,0
JURUPARI,-1.5455,-52.7694,0
JURUTI,-2.2587,-56.0592,0
JURUTI,-2.2587,-56.0592,0
MARABA,-5.1999,-49.0235,0
MARABA,-5.1999,-49.0235,0
MARABA,-5.1999,-49.0235,0
MARITUBA,-1.4109,-48.3608,0
MARITUBA,-1.4109,-48.3608,0
MARITUBA,-1.4109,-48.3608,0
MIRAMAR,-1.4112,-48.4868,0
MIRAMAR,-1.4112,-48.4868,0
ONCA PUMA,-6.5771,-51.0925,0
ONCA PUMA,-6.5771,-51.0925,0
ORIXIMINA,-1.5825,-55.7238,0
ORIXIMINA,-1.5825,-55.7238,0
ORIXIMINA,-1.5825,-55.7238,0
RUROPOLIS,-4.0739,-54.8975,0
RUROPOLIS,-4.0739,-54.8975,0
SANT. ARAGUAIA,-9.3271,-50.3917,0
SANT. ARAGUAIA,-9.3271,-50.3917,0
SANTA MARIA,-1.3423,-47.5698,0
SANTA MARIA,-1.3423,-47.5698,0
SANTA MARIA,-1.3423,-47.5698,0
SANTA MARIA,-1.3423,-47.5698,0
SE PIMENTAL,-3.4412,-51.9479,0
SERRA PELADA,-6.0808,-49.6848,0
SERRA PELADA,-6.0808,-49.6848,0
TAPAJOS II,-2.6168,-54.6758,0
TAPAJOS II,-2.6168,-54.6758,0
TOME ACU,-2.3549,-48.14,0
TOME ACU,-2.3549,-48.14,0
TRANSAMAZONIC,-3.7075,-53.7151,0
TUCURUI,-3.8238,-49.6546,0
TUCURUI,-3.8238,-49.6546,0
TUCURUI,-3.8238,-49.6546,0
TUCURUI,-3.8238,-49.6546,0
UHE PIMENTAL,-3.4376,-51.9472,1
UT NT BARCARENA,-1.5487,-48.7456,0
UTINGA,-1.3356,-48.3808,0
UTINGA,-1.3356,-48.3808,0
UTINGA,-1.3356,-48.3808,0
UTINGA,-1.3356,-48.3808,0
UTINGA,-1.3356,-48.3808,0
VILA DO CONDE,-1.572,-48.7331,0
VILA DO CONDE,-1.572,-48.7331,0
VILA DO CONDE,-1.572,-48.7331,0
XINGU,-3.1065,-51.6926,0
XINGU,-3.1065,-51.6926,0
XINGU,-3.1065,-51.6926,0
XINGUARA 2,-7.073,-49.9213,0
XINGUARA 2,-7.073,-49.9213,0
BOA VISTA,2.9436,-60.7167,0
BOA VISTA,2.9436,-60.7167,0
BOA VISTA,2.9436,-60.7167,0
EQUADOR,0.3677,-60.5084,0
